comp_id,method,loop_id,probe_node,probe_graal_block_id
52,java.util.ImmutableCollections$SetN$SetNIterator.next,0,b7,7
57,java.util.HashMap.putVal,0,b38,38
58,java.lang.String.equals,0,b11,11
69,java.util.HashMap.resize,2,b23,23
69,java.util.HashMap.resize,0,b48,48
69,java.util.HashMap.resize,1,b62,62
70,java.util.HashMap.resize,2,b23,23
70,java.util.HashMap.resize,0,b48,48
70,java.util.HashMap.resize,1,b62,62
71,java.util.HashMap.resize,2,b23,23
71,java.util.HashMap.resize,0,b48,48
71,java.util.HashMap.resize,1,b62,62
73,java.util.HashMap.resize,2,b23,23
73,java.util.HashMap.resize,0,b48,48
73,java.util.HashMap.resize,1,b62,62
75,java.util.HashMap.resize,2,b23,23
75,java.util.HashMap.resize,0,b48,48
75,java.util.HashMap.resize,1,b62,62
84,jdk.internal.util.ArraysSupport.unsignedHashCode,0,b18,18
84,jdk.internal.util.ArraysSupport.unsignedHashCode,1,b21,21
84,jdk.internal.util.ArraysSupport.unsignedHashCode,2,b24,24
85,jdk.internal.util.ArraysSupport.unsignedHashCode,0,b9,9
85,jdk.internal.util.ArraysSupport.unsignedHashCode,1,b12,12
85,jdk.internal.util.ArraysSupport.unsignedHashCode,2,b15,15
87,java.lang.StringCoding.countPositives,0,b22,22
88,java.lang.StringCoding.countPositives,0,b11,11
133,BuboAgentCompilerMarkers.warmupMarkers,0,b2,2
133,BuboAgentCompilerMarkers.warmupMarkers,1,b5,5
133,BuboAgentCompilerMarkers.warmupMarkers,2,b8,8
134,BuboAgentCompilerMarkers.warmupMarkers,0,b0,0
134,BuboAgentCompilerMarkers.warmupMarkers,1,b3,3
134,BuboAgentCompilerMarkers.warmupMarkers,2,b6,6
138,java.lang.StringLatin1.equals,0,b7,7
140,java.util.Properties$LineReader.readLine,5,b38,38
140,java.util.Properties$LineReader.readLine,3,b53,53
140,java.util.Properties$LineReader.readLine,4,b62,62
140,java.util.Properties$LineReader.readLine,0,b74,74
140,java.util.Properties$LineReader.readLine,1,b95,95
140,java.util.Properties$LineReader.readLine,2,b104,104
141,java.util.Properties$LineReader.readLine,0,b0,0
141,java.util.Properties$LineReader.readLine,1,b24,24
141,java.util.Properties$LineReader.readLine,2,b33,33
142,java.util.Properties$LineReader.readLine,5,b38,38
142,java.util.Properties$LineReader.readLine,3,b53,53
142,java.util.Properties$LineReader.readLine,4,b62,62
142,java.util.Properties$LineReader.readLine,0,b74,74
142,java.util.Properties$LineReader.readLine,1,b102,102
142,java.util.Properties$LineReader.readLine,2,b111,111
143,java.util.Properties$LineReader.readLine,0,b0,0
143,java.util.Properties$LineReader.readLine,1,b24,24
143,java.util.Properties$LineReader.readLine,2,b33,33
168,LoopBenchmarks.fibonacciLoop,0,b4,4
