comp_id,method,node,loop_id
52,java.util.ImmutableCollections$SetN$SetNIterator.next,b8,0
52,java.util.ImmutableCollections$SetN$SetNIterator.next,b9,0
52,java.util.ImmutableCollections$SetN$SetNIterator.next,b10,0
52,java.util.ImmutableCollections$SetN$SetNIterator.next,b11,0
52,java.util.ImmutableCollections$SetN$SetNIterator.next,b12,0
52,java.util.ImmutableCollections$SetN$SetNIterator.next,b13,0
56,java.util.HashMap.putVal,b45,0
56,java.util.HashMap.putVal,b46,0
56,java.util.HashMap.putVal,b49,0
63,java.lang.String.equals,b14,0
63,java.lang.String.equals,b15,0
63,java.lang.String.equals,b16,0
71,java.util.HashMap.resize,b24,2
71,java.util.HashMap.resize,b25,2
71,java.util.HashMap.resize,b49,0
71,java.util.HashMap.resize,b50,0
71,java.util.HashMap.resize,b51,0
71,java.util.HashMap.resize,b52,0
71,java.util.HashMap.resize,b53,0
71,java.util.HashMap.resize,b54,0
71,java.util.HashMap.resize,b56,0
71,java.util.HashMap.resize,b59,0
71,java.util.HashMap.resize,b60,0
71,java.util.HashMap.resize,b61,0
71,java.util.HashMap.resize,b62,0
71,java.util.HashMap.resize,b63,1
71,java.util.HashMap.resize,b64,1
71,java.util.HashMap.resize,b65,1
71,java.util.HashMap.resize,b66,1
71,java.util.HashMap.resize,b67,1
71,java.util.HashMap.resize,b68,1
71,java.util.HashMap.resize,b69,1
71,java.util.HashMap.resize,b70,1
71,java.util.HashMap.resize,b71,1
71,java.util.HashMap.resize,b72,0
71,java.util.HashMap.resize,b73,0
71,java.util.HashMap.resize,b74,0
71,java.util.HashMap.resize,b75,0
71,java.util.HashMap.resize,b76,0
71,java.util.HashMap.resize,b77,0
85,jdk.internal.util.ArraysSupport.unsignedHashCode,b19,0
85,jdk.internal.util.ArraysSupport.unsignedHashCode,b20,0
85,jdk.internal.util.ArraysSupport.unsignedHashCode,b22,1
85,jdk.internal.util.ArraysSupport.unsignedHashCode,b23,1
85,jdk.internal.util.ArraysSupport.unsignedHashCode,b25,2
85,jdk.internal.util.ArraysSupport.unsignedHashCode,b26,2
86,jdk.internal.util.ArraysSupport.unsignedHashCode,b10,0
86,jdk.internal.util.ArraysSupport.unsignedHashCode,b11,0
86,jdk.internal.util.ArraysSupport.unsignedHashCode,b13,1
86,jdk.internal.util.ArraysSupport.unsignedHashCode,b14,1
86,jdk.internal.util.ArraysSupport.unsignedHashCode,b16,2
86,jdk.internal.util.ArraysSupport.unsignedHashCode,b17,2
89,java.lang.StringCoding.countPositives,b23,0
89,java.lang.StringCoding.countPositives,b24,0
