benchmark,mode,run_dir,input_file,total_samples,method,samples,percent,ns
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,LoopBenchmarks.crc32Loop,1255012,13.93,12618286098
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,LoopBenchmarks.editDistanceLoop,1151805,12.77,11570598098
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,LoopBenchmarks.mandelbrotLoop,776161,8.61,7803712972
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,LoopBenchmarks.bubbleSortLoop,707466,7.84,7107313025
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,java.lang.String.hashCode,653523,7.25,6568815550
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,LoopBenchmarks.monteCarloPiLoop,626891,6.95,6295789091
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,LoopBenchmarks.fibonacciLoop,582972,6.46,5857155799
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,LoopBenchmarks.parseJsonLoop,520943,5.78,5234251419
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,LoopBenchmarks.matrixMultiplyLoop,496789,5.51,4991897344
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,LoopBenchmarks.sieveLoop,481746,5.34,4840718050
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,LoopBenchmarks.polynomialLoop,398778,4.42,4007156674
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,LoopBenchmarks.histogramLoop,349262,3.87,3508469539
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,LoopBenchmarks.raySphereLoop,334007,3.71,3360663103
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,LoopBenchmarks.base64EncodeLoop,305489,3.39,3069365416
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,LoopBenchmarks.blurLoop,199436,2.21,2005558475
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,LoopBenchmarks.main,35118,0.39,353156753
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,do_user_addr_fault_[k],3892,0.04,40417019
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,void com.oracle.svm.core.genscavenge.GreyToBlackObjRefVisitor::visitObjectReferences,3371,0.04,33683143
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,void com.oracle.svm.core.genscavenge.GreyToBlackObjectVisitor::visitObject,2141,0.02,21361753
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,void com.oracle.svm.core.UnmanagedMemoryUtil::copyLongsForward,1361,0.01,13541362
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,java.lang.AbstractStringBuilder* java.lang.AbstractStringBuilder::append,1338,0.01,13316437
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,clear_page_erms_[k],1157,0.01,12707396
LoopBenchmarks,BuboOn,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOn.txt,9015358,void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.iterators.PredicatedProxyNodeIterator::forward,1269,0.01,12675192
