benchmark,mode,run_dir,input_file,total_samples,method,samples,percent,ns
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LoopBenchmarks.crc32Loop,1248259,16.95,12547115843
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LoopBenchmarks.editDistanceLoop,844785,11.48,8501891660
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LoopBenchmarks.bubbleSortLoop,703753,9.56,7080004069
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LoopBenchmarks.monteCarloPiLoop,624111,8.47,6269854017
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LoopBenchmarks.fibonacciLoop,579396,7.86,5821759300
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LoopBenchmarks.parseJsonLoop,550879,7.48,5536219877
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LoopBenchmarks.sieveLoop,447689,6.08,4498590678
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LoopBenchmarks.matrixMultiplyLoop,407949,5.54,4099690085
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LoopBenchmarks.polynomialLoop,388723,5.28,3906148219
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LoopBenchmarks.raySphereLoop,323949,4.4,3258934993
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LoopBenchmarks.histogramLoop,315021,4.27,3165187733
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LoopBenchmarks.base64EncodeLoop,311707,4.23,3133662889
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LoopBenchmarks.mandelbrotLoop,246899,3.35,2481923429
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LoopBenchmarks.blurLoop,200375,2.72,2014910020
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LoopBenchmarks.main,35010,0.48,351877121
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,do_user_addr_fault_[k],3810,0.05,39760975
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,void com.oracle.svm.core.genscavenge.GreyToBlackObjRefVisitor::visitObjectReferences,3294,0.04,32914411
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,void com.oracle.svm.core.genscavenge.GreyToBlackObjectVisitor::visitObject,2070,0.03,20648938
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,clear_page_erms_[k],1176,0.02,12924411
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,void com.oracle.svm.core.UnmanagedMemoryUtil::copyLongsForward,1288,0.02,12798319
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,java.lang.AbstractStringBuilder* java.lang.AbstractStringBuilder::append,1258,0.02,12503650
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,_raw_spin_unlock_irqrestore_[k],842,0.02,11805739
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,int org.graalvm.collections.EconomicMapImpl::findLinear,1165,0.02,11603114
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,G1ParScanThreadState::trim_queue_to_threshold,1112,0.02,11158216
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.iterators.PredicatedProxyNodeIterator::forward,1109,0.01,11041470
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,void com.oracle.svm.core.graal.jdk.SubstrateArraycopySnippets::doArraycopy,1103,0.01,10992971
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,int LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeIdAccessor::getNodeId,1011,0.01,10058189
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,__list_del_entry_valid_[k],786,0.01,8689677
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,void java.util.ArrayList::add,810,0.01,8040921
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeUsageIterator::advance,769,0.01,7654693
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,get_mem_cgroup_from_mm_[k],633,0.01,6821460
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,boolean org.graalvm.collections.EconomicMapImpl::compareKeys,645,0.01,6442222
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,int org.graalvm.collections.EconomicMapImpl::getHashIndex,641,0.01,6372758
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.Node* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeClass$RawEdgesIterator::getAndAdvanceInput,638,0.01,6345109
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,java.lang.Object* org.graalvm.collections.EconomicMapImpl::put,619,0.01,6161339
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,java.lang.String* com.oracle.svm.core.util.Utf8::utf8ToString,597,0.01,5929902
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,void LibGraalClassLoader_6d026701::jdk.graal.compiler.lir.LIRIntrospection::visitEach,566,0.01,5632271
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,void com.oracle.svm.core.c.function.CEntryPointSetup$LeaveEpilogue::leave,558,0.01,5562279
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,boolean LibGraalClassLoader_6d026701::jdk.graal.compiler.phases.common.CanonicalizerPhase::tryCanonicalize,533,0.01,5327671
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.iterators.NodeIterable* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.Node::inputs,532,0.01,5274959
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeWorkList$QueueConsumingIterator::dropDeleted,514,0.01,5132567
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,java.lang.Object* com.oracle.svm.core.graal.jdk.SubstrateObjectCloneSnippets::doClone,519,0.01,5130890
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,void com.oracle.svm.core.UnmanagedMemoryUtil::copyForward,518,0.01,5129336
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,int org.graalvm.collections.EconomicMapImpl::findHash,512,0.01,5096675
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.Node* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.Graph::findDuplicate,500,0.01,4998575
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,java.lang.Object* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeMap::get,499,0.01,4969659
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,void LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeMap::set,496,0.01,4930900
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.Node* LibGraalClassLoader_6d026701::jdk.graal.compiler.graph.NodeClass$RawEdgesIterator::forward,493,0.01,4913406
LoopBenchmarks,BuboOff,bubo_runs4_BuboWithDebug,/home/hb478/repos/BuboExperiments/ProgramObserverEffect/bubo_runs4_BuboWithDebug/async/LoopBenchmarks_BuboOff.txt,7364078,next_uptodate_page_[k],458,0.01,4721131
